,Label,Spotify,Title,Artist,Featured Artists,feat-string,artist-string,weav-track-prefix,Prefix formula,Genre,ISRC,GRID,source-UPC,Circle of Fifths
1019,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/The%20Knocks%20-%20HEAT%20ft.%20Sam%20Nelson%20Harris%20,HEAT,The Knocks,['rec2jACgSzDQSAuOM'],Sam Nelson Harris,The Knocks,io.weav.tracks.HEAT,HEAT,,,,,0
1020,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Cash%20Cash%20-%20How%20To%20Love%20ft.%20Sofia%20Reyes%20,How To Love,Cash Cash,['recJwgJSGXNKDekyp'],Sofia Reyes,Cash Cash,io.weav.tracks.HowToLove,HowToLove,,,,,0
1021,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/Cash%20Cash%20-%20Matches%20ft.%20ROZES%20,Matches,Cash Cash,['recDLKAqVXViQDRrb'],ROZES,Cash Cash,io.weav.tracks.Matches,Matches,,USAT21802911,A10302B0004487998C,,0
1022,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/BLVK%20JVCK%20-%20Mind%20Games%20ft.%20Dyo%20,Mind Games,BLVK JVCK,['recX5ACq5Rt9rU4Pk'],Dyo,BLVK JVCK,io.weav.tracks.MindGames,MindGames,,USAT21802905,A10302B0004487988G,,0
1023,['recltmkAXjxvmxMTh'],https://open.spotify.com/search/songs/Chromeo%20-%20Juice%20,Juice,Chromeo,,,Chromeo,io.weav.tracks.Juice,Juice,,USAT21802914,A10302B0004487999A,,0
1024,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/CID%20-%20Secrets%20ft.%20Conrad%20Sewell%20,Secrets,CID,['recxBot0mEgE9UFm2'],Conrad Sewell,CID,io.weav.tracks.Secrets,Secrets,,USAT21802916,A10302B00044880041,,0
1025,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/CID%20-%20Sweet%20Memories%20ft.%20Kaskade%20,Sweet Memories,CID,['rec32aLsDPLcS4XMC'],Kaskade,CID,io.weav.tracks.SweetMemories,SweetMemories,,USAT21802915,A10302B00044880033,,0
1026,['recrzFbrNYO25B8Yn'],https://open.spotify.com/search/songs/CamelPhat%20-%20Cola%20ft.%20Elderbrook%20,Cola,CamelPhat,['reckJAOuMWNxMxmwO'],Elderbrook,CamelPhat,io.weav.tracks.Cola,Cola,,,,,0
1027,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Madison%20Mars%20-%20All%20They%20Wanna%20Be%20ft.%20Caslin%20,All They Wanna Be,Madison Mars,['recPgQBkgmh5Ylcrc'],Caslin,Madison Mars,io.weav.tracks.AllTheyWannaBe,AllTheyWannaBe,['EDM'],,,,0
1028,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/BEAUZ%20Medii%20-%20Tonight's%20Enough%20ft.%20Kiddo%20AI%20,Tonight's Enough,BEAUZ,['recwYB8JCYKAPOxS4'],Kiddo AI,BEAUZ & Medii,io.weav.tracks.TonightsEnough,Tonight'sEnough,['EDM'],,,,0
1029,['reczKOd5S6x8c4Dty'],https://open.spotify.com/search/songs/Ost%20Meyer%20-%20Painter%20,Painter,Ost,,,Ost & Meyer,io.weav.tracks.Painter,Painter,['EDM'],,,,0
1030,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Sigma%20-%20Changing%20ft.%20Paloma%20Faith%20,Changing,Sigma,['recfUNzU3LRSGa3TZ'],Paloma Faith,Sigma,io.weav.tracks.Changing,Changing,,,,,0
1031,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Sigma%20-%20Nobody%20To%20Love%20,Nobody To Love,Sigma,,,Sigma,io.weav.tracks.NobodyToLove,NobodyToLove,,,,,0
1032,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Stylo%20G%20-%20Yo%20Zimme%20,Yo Zimme,Stylo G,,,Stylo G,io.weav.tracks.YoZimme,YoZimme,,,,,0
1033,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Armand%20Van%20Helden%20Vs%20Butter%20Rush%20-%20I%20Need%20A%20Painkiller%20,I Need A Painkiller,Armand Van Helden Vs Butter Rush,,,Armand Van Helden Vs Butter Rush,io.weav.tracks.INeedAPainkiller,INeedAPainkiller,,,,,0
1034,['recblFZpvitasCCse'],https://open.spotify.com/search/songs/Earl%20Juke%20-%20I%20Got%20Music%20,I Got Music,Earl Juke,,,Earl Juke,io.weav.tracks.IGotMusic,IGotMusic,,,,,0
1035,['reck54yvjXCR59Dp7'],https://open.spotify.com/search/songs/San%20Holo%20James%20Vincent%20McMorrow%20-%20The%20Future%20(Fytch%20remix)%20,The Future (Fytch remix),San Holo,,,San Holo & James Vincent McMorrow,io.weav.tracks.TheFutureF,TheFuture(Fytchremix),['EDM'],,,,0
1036,['reck54yvjXCR59Dp7'],https://open.spotify.com/search/songs/San%20Holo%20-%20Light%20,Light,San Holo,,,San Holo,io.weav.tracks.Light,Light,['EDM'],,,,0
1037,['recallssJLk8t0gr0'],https://open.spotify.com/search/songs/Sam%20Feldt%20Kav%20Verhouzer%20-%20Hot%20Skin%20(Radio%20Edit)%20,Hot Skin (Radio Edit),Sam Feldt,,,Sam Feldt & Kav Verhouzer,io.weav.tracks.HotSkinRadio,HotSkin(RadioEdit),['EDM'],,,,0
1038,['recallssJLk8t0gr0'],https://open.spotify.com/search/songs/Sam%20Feldt%20-%20Been%20A%20While%20,Been A While,Sam Feldt,,,Sam Feldt,io.weav.tracks.BeenAWhile,BeenAWhile,['EDM'],,,,0
